,Value(uM),Patient Age,Patient Sex,Patient Information,Comment,File
0,51.2 +/- 17.6 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-01
1,43.4 +/- 22.3 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-01
2,50.7 (12.9) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-01
3,50.0 (14.6) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-01
4,28.8 +/- 18.2,Adult (>18 years old),Both,Kidney disease,"Patients with chronic renal failure on maintenance hemodialysis. These subjects were treated with nocturnal hemodialysis for 8 h during the night, 6 times/week.",hmdb_metabolites-01
5,83.1 +/- 21.7,Adult (>18 years old),Both,Kidney disease,"Patients with chronic renal failure on maintenance hemodialysis. These subjects were treated with conventional hemodialysis for 4 h, 3 times/week.",hmdb_metabolites-01
6,70.3 (40.0) ,Adult (>18 years old),Female,Late-onset preeclampsia,"Patients with chronic renal failure on maintenance hemodialysis. These subjects were treated with conventional hemodialysis for 4 h, 3 times/week.",hmdb_metabolites-01
7,38.9 (20.3) ,Adult (>18 years old),Female,Pregnancy,"Patients with chronic renal failure on maintenance hemodialysis. These subjects were treated with conventional hemodialysis for 4 h, 3 times/week.",hmdb_metabolites-01
8,10.66 +/- 2.68,Elderly (>65 years old),Both,Alzheimer's disease,Probable Alzheimer's disease,hmdb_metabolites-01
9,40.4 (12.3) ,Adult (>18 years old),Female,Down syndrome pregnancy,Probable Alzheimer's disease,hmdb_metabolites-01
10,32.7 (13.7) ,Adult (>18 years old),Female,Pregnancy,Probable Alzheimer's disease,hmdb_metabolites-01
11,0.13 +/- 0.13,Adult (>18 years old),Female,Breast cancer ,None,hmdb_metabolites-02
12,26.96 +/- 13.11 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
13,16.93 +/- 8.17,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
14,21.4 (5.6) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
15,19.5 (7.4) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
16,,Adult (>18 years old),Both,Colorectal cancer,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
17,17.13 (7.48) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
18,16.69 (6.25) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
19,28.0 (14.4) ,Adult (>18 years old),Female,Late-onset preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
20,4.14(10.18),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
21,21.2 (7.5) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-04
22,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS,hmdb_metabolites-04
23,23.1 (14.1) ,Adult (>18 years old),Female,Down syndrome pregnancy,Detected by GC-TOFMS,hmdb_metabolites-04
24,15.0 (7.4) ,Adult (>18 years old),Female,Pregnancy,Detected by GC-TOFMS,hmdb_metabolites-04
25,235.0 +/- 17.0,Adult (>18 years old),Female,Obesity,None,hmdb_metabolites-06
26,35.1 +/- 33.9,Adult (>18 years old),Both,Heart Transplant,None,hmdb_metabolites-06
27,62.7 (85.0) ,Adult (>18 years old),Female,Down syndrome pregnancy,None,hmdb_metabolites-06
28,21.0 (19.4) ,Adult (>18 years old),Female,Pregnancy,None,hmdb_metabolites-06
29,500,Adult (>18 years old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=1. Fasting.,hmdb_metabolites-06
30,660,Adolescent (13-18 years old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=1. Fasting.,hmdb_metabolites-06
31,200-2800,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=3. Fasting.,hmdb_metabolites-06
32,770-2900,Children (1-13 years old),Both,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=3. Fasting.,hmdb_metabolites-06
33,,Adult (>18 years old),Both,Oesophageal cancer,By NMR and LC-MS ,hmdb_metabolites-06
34,,Adult (>18 years old),Both,Schizophrenia,Detected by 1H NMR,hmdb_metabolites-06
35,220,Infant (0-1 year old),Not Specified,Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD),n=1,hmdb_metabolites-06
36,80-200,Infant (0-1 year old),Not Specified,Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency,n=2,hmdb_metabolites-06
37,700-1340,Infant (0-1 year old),Not Specified,Medium chain acyl-CoA dehydrogenase deficiency (MCAD),n=3,hmdb_metabolites-06
38,1800,Infant (0-1 year old),Male,Pyruvate dehydrogenase phosphatase deficiency,n=3,hmdb_metabolites-06
39,<100,Children (1-13 years old),Male,Carnitine palmitoyltransferase deficiency I,n=3,hmdb_metabolites-06
40,1500.0 +/- 100.0,Children (1-13 years old),Both,Diabetes,Without diabetic ketoacidosis,hmdb_metabolites-06
41,0-380,Infant (0-1 year old),Not Specified,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency,n=5. Patients have hyperinsulinism.,hmdb_metabolites-06
42,1490-5040,Infant (0-1 year old),Not Specified,Ketotic hypoglycemia,n=5,hmdb_metabolites-06
43,10-1380,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=5,hmdb_metabolites-06
44,,Adult (>18 years old),Both,Colorectal cancer,n=5,hmdb_metabolites-06
45,35.5 +/- 92.2,Adult (>18 years old),Both,Diabetes,"Type 1
",hmdb_metabolites-06
46,17.6 +/- 3.84,Adult (>18 years old),Both,Schizophrenia,Measured by HPLC,hmdb_metabolites-06
47,7700.0 +/- 300.0,Children (1-13 years old),Both,Diabetes,With diabetic ketoacidosis,hmdb_metabolites-06
48,54.57 +/- 64.53 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-06
49,32.9 +/- 53.42 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-06
50,0-200,Infant (0-1 year old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-06
51,31.6 (19.1) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-06
52,27.0 (16.2) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-06
53,64,Infant (0-1 year old),Female,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=1,hmdb_metabolites-06
54,100,Newborn (0-30 days old),Male,2-Ketoglutarate dehydrogenase complex deficiency,n=1,hmdb_metabolites-06
55,120-2000,Children (1-13 years old),Male,2-Ketoglutarate dehydrogenase complex deficiency,n=1,hmdb_metabolites-06
56,,Adult (>18 years old),Both,Pancreatic cancer,By NMR. Significantly decreased vs control.,hmdb_metabolites-06
57,33.63 (42.57) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,By NMR. Significantly decreased vs control.,hmdb_metabolites-06
58,30.15 (37.69) ,Adult (>18 years old),Female,Pregnancy,By NMR. Significantly decreased vs control.,hmdb_metabolites-06
59,29.61(44.27),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,By NMR. Significantly decreased vs control.,hmdb_metabolites-06
60,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS,hmdb_metabolites-06
61,49.9 (46.7) ,Adult (>18 years old),Female,Late-onset preeclampsia,Detected by GC-TOFMS,hmdb_metabolites-06
62,29.7 (19.1) ,Adult (>18 years old),Female,Pregnancy,Detected by GC-TOFMS,hmdb_metabolites-06
63,130 +/- 80,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Evening. With Dexamethasone and Hydrocortisone treatment, high dose.",hmdb_metabolites-06
64,300 +/- 390,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Evening. With Dexamethasone and Hydrocortisone treatment, standard dose.",hmdb_metabolites-06
65,300 +/- 200,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Morning. With Dexamethasone and Hydrocortisone treatment, high dose.",hmdb_metabolites-06
66,250 +/- 160,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Morning. With Dexamethasone and Hydrocortisone treatment, standard dose.",hmdb_metabolites-06
67,,Adult (>18 years old),Both,By NMR. Significantly decreased vs control.,By NMR ,hmdb_metabolites-06
