,Value(uM),Subject Age,Subject Sex,Subject Information,Comment,File
0,7.7 +/- 1.9,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-01
1,14.4 +/- 2.3,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-01
2,19.6 +/- 2.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-01
3,12.7 +/- 2.9,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-01
4,20.2 +/- 4.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-01
5,9.1 +/- 7.2,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-01
6,4.0 +/- 8.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-01
7,0.04 +/- 0.03,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-02
8,3.33 +/- 5.00,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-03
9,9.4 (3.4-15.4),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-03
10,8.6 (6.0-11.2),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-03
11,8.00-80.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-04
12,26.9(32.92),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-04
13,8.00-80.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-04
14,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-04
15,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-04
16,54.0 (8.0-80.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-04
17,,,,Normal,None,hmdb_metabolites-05
18,60.0 +/- 20.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
19,40.0 +/- 10.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
20,323.0 +/- 29.0,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-06
21,36 +/- 20,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
22,86 +/- 53,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
23,38 +/- 31,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
24,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
25,<500,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-06
26,260-5040,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-06
27,50.0 (0.0-100.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
28,46.5 +/- 10.1,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
29,<600,Not Specified,Not Specified,Normal,None,hmdb_metabolites-06
30,<150,Not Specified,Not Specified,Normal,None,hmdb_metabolites-06
31,100.0 +/- 90.0,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-06
32,565.0 +/- 255.0,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-06
33,36.0 (13.0-95.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
34,80-3600,Not Specified,Not Specified,Normal,None,hmdb_metabolites-06
35,64.88(60.4),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
36,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
37,200 +/- 120,Children (1-13 years old),Both,Normal,None,hmdb_metabolites-06
38,170 +/- 110,Children (1-13 years old),Both,Normal,None,hmdb_metabolites-06
