,Value(uM),Subject Age,Subject Sex,Subject Information
0,7.7 +/- 1.9,Adult (>18 years old),Both,Normal
1,14.4 +/- 2.3,Adult (>18 years old),Both,Normal
2,19.6 +/- 2.6,Adult (>18 years old),Both,Normal
3,12.7 +/- 2.9,Adult (>18 years old),Both,Normal
4,20.2 +/- 4.0,Adult (>18 years old),Both,Normal
5,9.1 +/- 7.2,Children (1-13 years old),Not Specified,Normal
6,4.0 +/- 8.0,Adult (>18 years old),Both,Normal
7,0.04 +/- 0.03,Adult (>18 years old),Female,Normal
8,3.33 +/- 5.00,Adult (>18 years old),Both,Normal
9,9.4 (3.4-15.4),Adult (>18 years old),Both,Normal
10,8.6 (6.0-11.2),Children (1-13 years old),Both,Normal
11,8.00-80.0,Adult (>18 years old),Both,Normal
12,26.9(32.92),Adult (>18 years old),Both,Normal
13,8.00-80.0,Adult (>18 years old),Both,Normal
14,,Adult (>18 years old),Both,Normal
15,,Adult (>18 years old),Female,Normal
16,54.0 (8.0-80.0),Adult (>18 years old),Both,Normal
17,,,,Normal
18,60.0 +/- 20.0,Adult (>18 years old),Both,Normal
19,40.0 +/- 10.0,Adult (>18 years old),Both,Normal
20,323.0 +/- 29.0,Adult (>18 years old),Female,Normal
21,36 +/- 20,Adult (>18 years old),Both,Normal
22,86 +/- 53,Adult (>18 years old),Both,Normal
23,38 +/- 31,Adult (>18 years old),Both,Normal
24,,Adult (>18 years old),Both,Normal
25,<500,Infant (0-1 year old),Not Specified,Normal
26,260-5040,Infant (0-1 year old),Not Specified,Normal
27,50.0 (0.0-100.0),Adult (>18 years old),Both,Normal
28,46.5 +/- 10.1,Adult (>18 years old),Both,Normal
29,<600,Not Specified,Not Specified,Normal
30,<150,Not Specified,Not Specified,Normal
31,100.0 +/- 90.0,Adult (>18 years old),Female,Normal
32,565.0 +/- 255.0,Newborn (0-30 days old),Both,Normal
33,36.0 (13.0-95.0),Adult (>18 years old),Both,Normal
34,80-3600,Not Specified,Not Specified,Normal
35,64.88(60.4),Adult (>18 years old),Both,Normal
36,,Adult (>18 years old),Both,Normal
37,200 +/- 120,Children (1-13 years old),Both,Normal
38,170 +/- 110,Children (1-13 years old),Both,Normal
39,10.60-143.2,Adult (>18 years old),Both,Normal
40,500-3000,Children (1-13 years old),Male,Normal
41,,Adult (>18 years old),Both,Normal
42,76.9 +/- 66.3,Adult (>18 years old),Both,Normal
43,180.0 (22.0-700.0),Adult (>18 years old),Both,Normal
44,<0.1,Adult (>18 years old),Not Specified,Normal
45,0.052 (0.049-0.056),Adult (>18 years old),Both,Normal
46,0.200 (0.100-0.300),Adult (>18 years old),Both,Normal
47,0.6 +/- 0.6,Adult (>18 years old),Both,Normal
48,0.2 (0.0-0.5),Adult (>18 years old),Both,Normal
49,0.0039 +/- 0.0004,Adult (>18 years old),Both,Normal
50,<0.0250,Not Specified,Both,Normal
51,<0.0600,Newborn (0-30 days old),Both,Normal
52,0.073 (0.034-0.11),Adult (>18 years old),Female,Normal
53,0.00009-0.000999,Adult (>18 years old),Female,Normal
54,0.027 (0.0062-3.14),Adult (>18 years old),Both,Normal
55,0.040 +/- 0.007,Adult (>18 years old),Both,Normal
56,0.0071 +/- 0.005,Adult (>18 years old),Female,Normal
57,0.0097 +/- 0.00665,Adult (>18 years old),Male,Normal
58,,Adult (>18 years old),Both,Normal
59,,Adult (>18 years old),Female,Normal
60,14.0 (0.0-28.0),Children (1-13 years old),Both,Normal
61,11.0 +/- 1.7,Adult (>18 years old),Both,Normal
62,,Adult (>18 years old),Female,Normal
63,6.346 +/- 0.518,Adult (>18 years old),Male,Normal
64,6.695 +/- 0.555,Adult (>18 years old),Male,Normal
65,6.387 +/- 0.586,Adult (>18 years old),Male,Normal
66,7.911 +/- 1,Adult (>18 years old),Male,Normal
67,6.5 +/- 0.432,Adult (>18 years old),Male,Normal
68,6.661 +/- 0.692,Adult (>18 years old),Male,Normal
69,5.791 +/- 0.609,Adult (>18 years old),Male,Normal
70,42.412 +/- 35.919,Adult (>18 years old),Male,Normal
71,0.230 (0.070-0.390),Adult (>18 years old),Both,Normal
72,0.00069 +/- 0.00020,Adult (>18 years old),Both,Normal
73,0.0025 (0.0016-0.0029),Adult (>18 years old),Both,Normal
74,21.0 +/- 2.0,Adult (>18 years old),Both,Normal
75,20.0 (4.0-48.0),Children (1-13 years old),Both,Normal
76,,,,Normal
77,0.0110 +/- 0.0008,Adult (>18 years old),Both,Normal
78,0.0093 +/- 0.0005,Adult (>18 years old),Both,Normal
79,0.0034 (0.002 - 0.0051),Newborn (0-30 days old),Both,Normal
80,0.0016 (0.0009 - 0.0028),Children (1-13 years old),Not Specified,Normal
81,0.0024 (0.0008 - 0.0041),Adult (>18 years old),Female,Normal
82,0.11-0.13,Adult (>18 years old),Both,Normal
83,0.00127 +/- 0.00067,Adult (>18 years old),Both,Normal
84,,Adult (>18 years old),Male,Normal
85,0.00065 (0.00053-0.00088),Adult (>18 years old),Both,Normal
86,0.12 +/- 0.014,Adult (>18 years old),Male,Normal
87,<0.65,Children (1-13 years old),Male,Normal
88,5.0 +/- 2.2,Adult (>18 years old),Both,Normal
89,0.00-0.10,Adult (>18 years old),Both,Normal
90,6.54 +/- 1.0,Adult (>18 years old),Both,Normal
91,3.1 +/- 7.5,Infant (0-1 year old),Both,Normal
92,0.3 +/-  0.1,Adult (>18 years old),Both,Normal
93,0.64 +/- 0.15,Adult (>18 years old),Both,Normal
94,0.38 +/- 0.20,Adult (>18 years old),Both,Normal
95,0.1(0.1-0.5),Infant (0-1 year old),Both,Normal
96,0.000139-0.00486,Newborn (0-30 days old),Female,Normal
97,0.000026 (0.000008 - 0.000044),Adult (>18 years old),Both,Normal
98,0.00011 (0.000055 -  0.002),Adult (>18 years old),Both,Normal
99,0.000194-0.00305,Not Specified,Not Specified,Normal
100,0.00005549-0.000361,Adolescent (13-18 years old),Not Specified,Normal
101,0.000282 +/- 0.000037,Elderly (>65 years old),Both,Normal
102,0.000263 +/- 0.000014,Adult (>18 years old),Both,Normal
103,0.00042 +/- 0.00004,Elderly (>65 years old),Both,Normal
104,0.000055 - 0.000500,Adult (>18 years old),Female,Normal
105,<0.000444,Not Specified,Not Specified,Normal
106,0.000106-0.000869,Infant (0-1 year old),Not Specified,Normal
107,0.00002774-0.000444,Infant (0-1 year old),Not Specified,Normal
108,0.000139-0.00250,Infant (0-1 year old),Not Specified,Normal
109,0.0000010-0.00000666,Not Specified,Female,Normal
110,0.000391-0.00309,Newborn (0-30 days old),Both,Normal
111,<0.000860,Not Specified,Not Specified,Normal
112,0.006 +/- 0.0003,Adult (>18 years old),Both,Normal
113,1.0 (0.3- 1.5),Adult (>18 years old),Both,Normal
114,30.4 (22.0-40.0),Adult (>18 years old),Both,Normal
115,69.14(30.49),Adult (>18 years old),Both,Normal
116,26.8-64.2,Adult (>18 years old),Both,Normal
117,41.9 +/- 15.1,Adult (>18 years old),Both,Normal
118,26-67,Adult (>18 years old),Not Specified,Normal
119,20-285,Adult (>18 years old),Not Specified,Normal
120,33.6 (23.9-42.1),Adult (>18 years old),Both,Normal
121,82.0 (20.0-144.0),Adult (>18 years old),Both,Normal
122,56.99 +/- 15.35,Adult (>18 years old),Both,Normal
123,54.77(15.5),Adult (>18 years old),Both,Normal
124,20.00-144.0,Adult (>18 years old),Both,Normal
125,72 +/- 22.4,Adult (>18 years old),Both,Normal
126,88.6 (21.0 - 171.0),Children (1-13 years old),Not Specified,Normal
127,60.8 +/- 15.9,Adult (>18 years old),Not Specified,Normal
128,51.0 (11.0 - 125.0),Newborn (0-30 days old),Not Specified,Normal
129,36.0 +/- 18.0,Adult (>18 years old),Both,Normal
130,63.0 (11.0-114.0),Adult (>18 years old),Both,Normal
131,8.19,Adult (>18 years old),Both,Normal
132,48.829 +/- 23.847,Adult (>18 years old),Both,Normal
133,9.06,Adult (>18 years old),Both,Normal
134,35.4-80.1,Adult (>18 years old),Female,Normal
135,22.2 (14.0-40.0),Adult (>18 years old),Both,Normal
136,27.0 (11.1-49.7),Adult (>18 years old),Male,Normal
137,50.9 (35.4-80.1),Adult (>18 years old),Female,Normal
138,5.1+/- 1.3,Adult (>18 years old),Female,Normal
139,51.0 (10.0-92.0),Adult (>18 years old),Both,Normal
140,14.0 +/- 3.0,Adult (>18 years old),Male,Normal
141,6.2 +/- 3.1,Adult (>18 years old),Male,Normal
142,0.505 +/- 0.142,Adult (>18 years old),Both,Normal
143,5.66 +/- 1.71,Adult (>18 years old),Both,Normal
144,0.285 +/- 0.060,Adult (>18 years old),Both,Normal 
145,0.2 (0.1-0.3),Adult (>18 years old),Both,Normal
146,0.0425 +/- 0.0029,Adult (>18 years old),Both,Normal
147,0.31 +/- 0.29,Adult (>18 years old),Both,Normal
148,<50,Children (1-13 years old),Not Specified,Normal
149,15-35,Children (1-13 years old),Not Specified,Normal
150,<60,Infant (0-1 year old),Not Specified,Normal
151,<54,Children (1-13 years old),Not Specified,Normal
152,22-48,Children (1-13 years old),Not Specified,Normal
153,<50,Children (1-13 years old),Not Specified,Normal
154,15-45,Children (1-13 years old),Not Specified,Normal
155,21-50,Children (1-13 years old),Not Specified,Normal
156,<4.404,Adult (>18 years old),Both,Normal
157,<50,Infant (0-1 year old),Male,Normal
158,14-50,Infant (0-1 year old),Both,Normal
159,27.5 +/- 3.6,Newborn (0-30 days old),Both,Normal
160,17-47,Children (1-13 years old),Both,Normal
161,18 - 74,Infant (0-1 year old),Male,Normal
162,5.872-35.231,Children (1 - 13 years old),Both,Normal
163,13.000-42.000,Not Specified,Not Specified,Normal
164,29.0 (10.0-47.0),Adult (>18 years old),Both,Normal
165,40.0 (0 - 80.0),Adult (>18 years old),Both,Normal
166,11-32,Not Specified,Not Specified,Normal
167,29.0 (13.0 - 46.0),Adult (>18 years old),Both,Normal
