,Name,Accession,Value(uM),Patient Age,Patient Sex,Patient Information
0,1-Methylhistidine,HMDB0000001,51.2 +/- 17.6 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18
1,1-Methylhistidine,HMDB0000001,43.4 +/- 22.3 ,Adult (>18 years old),Female,Pregnancy
2,1-Methylhistidine,HMDB0000001,50.7 (12.9) ,Adult (>18 years old),Female,Early preeclampsia
3,1-Methylhistidine,HMDB0000001,50.0 (14.6) ,Adult (>18 years old),Female,Pregnancy
4,1-Methylhistidine,HMDB0000001,28.8 +/- 18.2,Adult (>18 years old),Both,Kidney disease
5,1-Methylhistidine,HMDB0000001,83.1 +/- 21.7,Adult (>18 years old),Both,Kidney disease
6,1-Methylhistidine,HMDB0000001,70.3 (40.0) ,Adult (>18 years old),Female,Late-onset preeclampsia
7,1-Methylhistidine,HMDB0000001,38.9 (20.3) ,Adult (>18 years old),Female,Pregnancy
8,1-Methylhistidine,HMDB0000001,10.66 +/- 2.68,Elderly (>65 years old),Both,Alzheimer's disease
9,1-Methylhistidine,HMDB0000001,40.4 (12.3) ,Adult (>18 years old),Female,Down syndrome pregnancy
10,1-Methylhistidine,HMDB0000001,32.7 (13.7) ,Adult (>18 years old),Female,Pregnancy
11,"1,3-Diaminopropane",HMDB0000002,0.13 +/- 0.13,Adult (>18 years old),Female,Breast cancer 
12,2-Hydroxybutyric acid,HMDB0000008,26.96 +/- 13.11 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18
13,2-Hydroxybutyric acid,HMDB0000008,16.93 +/- 8.17,Adult (>18 years old),Female,Pregnancy
14,2-Hydroxybutyric acid,HMDB0000008,21.4 (5.6) ,Adult (>18 years old),Female,Early preeclampsia
15,2-Hydroxybutyric acid,HMDB0000008,19.5 (7.4) ,Adult (>18 years old),Female,Pregnancy
16,2-Hydroxybutyric acid,HMDB0000008,,Adult (>18 years old),Both,Colorectal cancer
17,2-Hydroxybutyric acid,HMDB0000008,17.13 (7.48) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect
18,2-Hydroxybutyric acid,HMDB0000008,16.69 (6.25) ,Adult (>18 years old),Female,Pregnancy
19,2-Hydroxybutyric acid,HMDB0000008,28.0 (14.4) ,Adult (>18 years old),Female,Late-onset preeclampsia
20,2-Hydroxybutyric acid,HMDB0000008,4.14(10.18),Adult (>18 years old),Both,Heart failure with reduced ejection fraction
21,2-Hydroxybutyric acid,HMDB0000008,21.2 (7.5) ,Adult (>18 years old),Female,Pregnancy
22,2-Hydroxybutyric acid,HMDB0000008,,Adult (>18 years old),Both,Schizophrenia
23,2-Hydroxybutyric acid,HMDB0000008,23.1 (14.1) ,Adult (>18 years old),Female,Down syndrome pregnancy
24,2-Hydroxybutyric acid,HMDB0000008,15.0 (7.4) ,Adult (>18 years old),Female,Pregnancy
25,3-Hydroxybutyric acid,HMDB0000011,235.0 +/- 17.0,Adult (>18 years old),Female,Obesity
26,3-Hydroxybutyric acid,HMDB0000011,35.1 +/- 33.9,Adult (>18 years old),Both,Heart Transplant
27,3-Hydroxybutyric acid,HMDB0000011,62.7 (85.0) ,Adult (>18 years old),Female,Down syndrome pregnancy
28,3-Hydroxybutyric acid,HMDB0000011,21.0 (19.4) ,Adult (>18 years old),Female,Pregnancy
29,3-Hydroxybutyric acid,HMDB0000011,500,Adult (>18 years old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
30,3-Hydroxybutyric acid,HMDB0000011,660,Adolescent (13-18 years old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
31,3-Hydroxybutyric acid,HMDB0000011,200-2800,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
32,3-Hydroxybutyric acid,HMDB0000011,770-2900,Children (1-13 years old),Both,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
33,3-Hydroxybutyric acid,HMDB0000011,,Adult (>18 years old),Both,Oesophageal cancer
34,3-Hydroxybutyric acid,HMDB0000011,,Adult (>18 years old),Both,Schizophrenia
35,3-Hydroxybutyric acid,HMDB0000011,220,Infant (0-1 year old),Not Specified,Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD)
36,3-Hydroxybutyric acid,HMDB0000011,80-200,Infant (0-1 year old),Not Specified,Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency
37,3-Hydroxybutyric acid,HMDB0000011,700-1340,Infant (0-1 year old),Not Specified,Medium chain acyl-CoA dehydrogenase deficiency (MCAD)
38,3-Hydroxybutyric acid,HMDB0000011,1800,Infant (0-1 year old),Male,Pyruvate dehydrogenase phosphatase deficiency
39,3-Hydroxybutyric acid,HMDB0000011,<100,Children (1-13 years old),Male,Carnitine palmitoyltransferase deficiency I
40,3-Hydroxybutyric acid,HMDB0000011,1500.0 +/- 100.0,Children (1-13 years old),Both,Diabetes
41,3-Hydroxybutyric acid,HMDB0000011,0-380,Infant (0-1 year old),Not Specified,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
42,3-Hydroxybutyric acid,HMDB0000011,1490-5040,Infant (0-1 year old),Not Specified,Ketotic hypoglycemia
43,3-Hydroxybutyric acid,HMDB0000011,10-1380,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
44,3-Hydroxybutyric acid,HMDB0000011,,Adult (>18 years old),Both,Colorectal cancer
45,3-Hydroxybutyric acid,HMDB0000011,35.5 +/- 92.2,Adult (>18 years old),Both,Diabetes
46,3-Hydroxybutyric acid,HMDB0000011,17.6 +/- 3.84,Adult (>18 years old),Both,Schizophrenia
47,3-Hydroxybutyric acid,HMDB0000011,7700.0 +/- 300.0,Children (1-13 years old),Both,Diabetes
48,3-Hydroxybutyric acid,HMDB0000011,54.57 +/- 64.53 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18
49,3-Hydroxybutyric acid,HMDB0000011,32.9 +/- 53.42 ,Adult (>18 years old),Female,Pregnancy
50,3-Hydroxybutyric acid,HMDB0000011,0-200,Infant (0-1 year old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
51,3-Hydroxybutyric acid,HMDB0000011,31.6 (19.1) ,Adult (>18 years old),Female,Early preeclampsia
52,3-Hydroxybutyric acid,HMDB0000011,27.0 (16.2) ,Adult (>18 years old),Female,Pregnancy
53,3-Hydroxybutyric acid,HMDB0000011,64,Infant (0-1 year old),Female,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
54,3-Hydroxybutyric acid,HMDB0000011,100,Newborn (0-30 days old),Male,2-Ketoglutarate dehydrogenase complex deficiency
55,3-Hydroxybutyric acid,HMDB0000011,120-2000,Children (1-13 years old),Male,2-Ketoglutarate dehydrogenase complex deficiency
