,metagene_id,Name,Disease,Disease Synonym,min_age,max_age,min_range,max_range,unit,meta_id,related_hmdb
2,2,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18.0,64.0,0.00,239.0,μmol/l,1954,HMDB0000182
3,3,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",13.0,18.0,116.00,276.0,μmol/l,1955,HMDB0000182
4,4,Proline,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",13.0,18.0,58.00,324.0,μmol/l,1963,HMDB0003411
5,5,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,0.02,6.83,43.45,µmol/l,1214,HMDB0000062
6,6,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,0.02,11.61,73.87,µmol/l,1215,HMDB0000062
7,7,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,23.00,60.0,µmol/l,59,HMDB0000062
8,8,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18.0,64.0,35.00,55.0,µmol/l,268,HMDB0000062
9,9,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,20.00,40.0,µmol/l,1090,HMDB0000062
10,10,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,2.0,15.00,40.0,µmol/l,1163,HMDB0000062
11,11,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,0.02,10.00,44.0,µmol/l,1213,HMDB0000062
12,12,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,2.0,13.00,23.0,µmol/l,1141,HMDB0000062
13,13,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,7.0,11.50,18.0,µmol/l,1142,HMDB0000062
14,14,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",7.0,15.0,18.00,30.0,µmol/l,1143,HMDB0000062
15,15,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,40.00,60.0,µmol/l,267,HMDB0000062
16,16,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,0.0907,9.00,23.0,µmol/l,1089,HMDB0000062
17,17,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,2.0,0.70,3.3,mmol/l,330,HMDB0001311
18,18,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,0.90,1.8,mmol/l,469,HMDB0001311
19,19,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,0.80,1.5,mmol/l,208,HMDB0001311
20,20,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18.0,64.0,0.70,1.9,mmol/l,211,HMDB0001311
21,21,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,2.0,1.00,2.3,mmol/l,214,HMDB0001311
22,22,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,2.0,0.90,2.0,mmol/l,206,HMDB0001311
23,23,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,0.50,1.6,mmol/l,209,HMDB0001311
