,Name,Accession,Value(uM),Subject Age,Subject Sex,Subject Information
0,1-Methylhistidine,HMDB0000001,7.7 +/- 1.9,Adult (>18 years old),Both,Normal
1,1-Methylhistidine,HMDB0000001,14.4 +/- 2.3,Adult (>18 years old),Both,Normal
2,1-Methylhistidine,HMDB0000001,19.6 +/- 2.6,Adult (>18 years old),Both,Normal
3,1-Methylhistidine,HMDB0000001,12.7 +/- 2.9,Adult (>18 years old),Both,Normal
4,1-Methylhistidine,HMDB0000001,20.2 +/- 4.0,Adult (>18 years old),Both,Normal
5,1-Methylhistidine,HMDB0000001,9.1 +/- 7.2,Children (1-13 years old),Not Specified,Normal
6,1-Methylhistidine,HMDB0000001,4.0 +/- 8.0,Adult (>18 years old),Both,Normal
7,"1,3-Diaminopropane",HMDB0000002,0.04 +/- 0.03,Adult (>18 years old),Female,Normal
8,2-Ketobutyric acid,HMDB0000005,3.33 +/- 5.00,Adult (>18 years old),Both,Normal
9,2-Ketobutyric acid,HMDB0000005,9.4 (3.4-15.4),Adult (>18 years old),Both,Normal
10,2-Ketobutyric acid,HMDB0000005,8.6 (6.0-11.2),Children (1-13 years old),Both,Normal
11,2-Hydroxybutyric acid,HMDB0000008,8.00-80.0,Adult (>18 years old),Both,Normal
12,2-Hydroxybutyric acid,HMDB0000008,26.9(32.92),Adult (>18 years old),Both,Normal
13,2-Hydroxybutyric acid,HMDB0000008,8.00-80.0,Adult (>18 years old),Both,Normal
14,2-Hydroxybutyric acid,HMDB0000008,,Adult (>18 years old),Both,Normal
15,2-Hydroxybutyric acid,HMDB0000008,,Adult (>18 years old),Female,Normal
16,2-Hydroxybutyric acid,HMDB0000008,54.0 (8.0-80.0),Adult (>18 years old),Both,Normal
17,2-Methoxyestrone,HMDB0000010,,,,Normal
18,3-Hydroxybutyric acid,HMDB0000011,60.0 +/- 20.0,Adult (>18 years old),Both,Normal
19,3-Hydroxybutyric acid,HMDB0000011,40.0 +/- 10.0,Adult (>18 years old),Both,Normal
20,3-Hydroxybutyric acid,HMDB0000011,323.0 +/- 29.0,Adult (>18 years old),Female,Normal
21,3-Hydroxybutyric acid,HMDB0000011,36 +/- 20,Adult (>18 years old),Both,Normal
22,3-Hydroxybutyric acid,HMDB0000011,86 +/- 53,Adult (>18 years old),Both,Normal
23,3-Hydroxybutyric acid,HMDB0000011,38 +/- 31,Adult (>18 years old),Both,Normal
24,3-Hydroxybutyric acid,HMDB0000011,,Adult (>18 years old),Both,Normal
25,3-Hydroxybutyric acid,HMDB0000011,<500,Infant (0-1 year old),Not Specified,Normal
26,3-Hydroxybutyric acid,HMDB0000011,260-5040,Infant (0-1 year old),Not Specified,Normal
27,3-Hydroxybutyric acid,HMDB0000011,50.0 (0.0-100.0),Adult (>18 years old),Both,Normal
28,3-Hydroxybutyric acid,HMDB0000011,46.5 +/- 10.1,Adult (>18 years old),Both,Normal
29,3-Hydroxybutyric acid,HMDB0000011,<600,Not Specified,Not Specified,Normal
30,3-Hydroxybutyric acid,HMDB0000011,<150,Not Specified,Not Specified,Normal
31,3-Hydroxybutyric acid,HMDB0000011,100.0 +/- 90.0,Adult (>18 years old),Female,Normal
32,3-Hydroxybutyric acid,HMDB0000011,565.0 +/- 255.0,Newborn (0-30 days old),Both,Normal
33,3-Hydroxybutyric acid,HMDB0000011,36.0 (13.0-95.0),Adult (>18 years old),Both,Normal
34,3-Hydroxybutyric acid,HMDB0000011,80-3600,Not Specified,Not Specified,Normal
35,3-Hydroxybutyric acid,HMDB0000011,64.88(60.4),Adult (>18 years old),Both,Normal
36,3-Hydroxybutyric acid,HMDB0000011,,Adult (>18 years old),Both,Normal
37,3-Hydroxybutyric acid,HMDB0000011,200 +/- 120,Children (1-13 years old),Both,Normal
38,3-Hydroxybutyric acid,HMDB0000011,170 +/- 110,Children (1-13 years old),Both,Normal
39,3-Hydroxybutyric acid,HMDB0000011,10.60-143.2,Adult (>18 years old),Both,Normal
40,3-Hydroxybutyric acid,HMDB0000011,500-3000,Children (1-13 years old),Male,Normal
41,3-Hydroxybutyric acid,HMDB0000011,,Adult (>18 years old),Both,Normal
42,3-Hydroxybutyric acid,HMDB0000011,76.9 +/- 66.3,Adult (>18 years old),Both,Normal
43,3-Hydroxybutyric acid,HMDB0000011,180.0 (22.0-700.0),Adult (>18 years old),Both,Normal
44,Deoxyuridine,HMDB0000012,<0.1,Adult (>18 years old),Not Specified,Normal
45,Deoxyuridine,HMDB0000012,0.052 (0.049-0.056),Adult (>18 years old),Both,Normal
