,Accession,Disease_id,Disease_name
0,HMDB0000001,1,Kidney disease
1,HMDB0000001,2,Early preeclampsia
2,HMDB0000001,3,Pregnancy
3,HMDB0000001,4,Late-onset preeclampsia
4,HMDB0000001,5,Alzheimer's disease
5,HMDB0000001,6,Obesity
6,HMDB0000001,7,Diabetes mellitus type 2
7,HMDB0000001,8,Propionic acidemia
8,HMDB0000001,9,Maple syrup urine disease
9,HMDB0000001,10,Eosinophilic esophagitis
10,HMDB0000001,11,Kidney disease
11,HMDB0000001,12,Early preeclampsia
12,HMDB0000001,13,Pregnancy
13,HMDB0000001,14,Late-onset preeclampsia
14,HMDB0000001,15,Alzheimer's disease
15,HMDB0000001,16,Obesity
16,HMDB0000001,17,Diabetes mellitus type 2
17,HMDB0000001,18,Propionic acidemia
18,HMDB0000001,19,Maple syrup urine disease
19,HMDB0000001,20,Eosinophilic esophagitis
20,HMDB0000001,21,Kidney disease
21,HMDB0000001,22,Early preeclampsia
22,HMDB0000001,23,Pregnancy
23,HMDB0000001,24,Late-onset preeclampsia
24,HMDB0000001,25,Alzheimer's disease
25,HMDB0000001,26,Obesity
26,HMDB0000001,27,Diabetes mellitus type 2
27,HMDB0000001,28,Propionic acidemia
28,HMDB0000001,29,Maple syrup urine disease
29,HMDB0000001,30,Eosinophilic esophagitis
30,HMDB0000001,31,Kidney disease
31,HMDB0000001,32,Early preeclampsia
32,HMDB0000001,33,Pregnancy
33,HMDB0000001,34,Late-onset preeclampsia
34,HMDB0000001,35,Alzheimer's disease
35,HMDB0000001,36,Obesity
36,HMDB0000001,37,Diabetes mellitus type 2
37,HMDB0000001,38,Propionic acidemia
38,HMDB0000001,39,Maple syrup urine disease
39,HMDB0000001,40,Eosinophilic esophagitis
40,HMDB0000001,41,Kidney disease
41,HMDB0000001,42,Early preeclampsia
42,HMDB0000001,43,Pregnancy
43,HMDB0000001,44,Late-onset preeclampsia
44,HMDB0000001,45,Alzheimer's disease
45,HMDB0000001,46,Obesity
46,HMDB0000001,47,Diabetes mellitus type 2
47,HMDB0000001,48,Propionic acidemia
48,HMDB0000001,49,Maple syrup urine disease
49,HMDB0000001,50,Eosinophilic esophagitis
50,HMDB0000001,51,Kidney disease
51,HMDB0000001,52,Early preeclampsia
52,HMDB0000001,53,Pregnancy
53,HMDB0000001,54,Late-onset preeclampsia
54,HMDB0000001,55,Alzheimer's disease
55,HMDB0000001,56,Obesity
56,HMDB0000001,57,Diabetes mellitus type 2
57,HMDB0000001,58,Propionic acidemia
58,HMDB0000001,59,Maple syrup urine disease
59,HMDB0000001,60,Eosinophilic esophagitis
60,HMDB0000001,61,Kidney disease
61,HMDB0000001,62,Early preeclampsia
62,HMDB0000001,63,Pregnancy
63,HMDB0000001,64,Late-onset preeclampsia
64,HMDB0000001,65,Alzheimer's disease
65,HMDB0000001,66,Obesity
66,HMDB0000001,67,Diabetes mellitus type 2
67,HMDB0000001,68,Propionic acidemia
68,HMDB0000001,69,Maple syrup urine disease
69,HMDB0000001,70,Eosinophilic esophagitis
70,HMDB0000002,71,Perillyl alcohol administration for cancer treatment
71,HMDB0000002,72,Colorectal cancer
72,HMDB0000002,73,Leukemia
73,HMDB0000005,74,Eosinophilic esophagitis
74,HMDB0000005,75,Eosinophilic esophagitis
75,HMDB0000005,76,Eosinophilic esophagitis
76,HMDB0000008,77,Colorectal cancer
77,HMDB0000008,78,Schizophrenia
78,HMDB0000008,79,Early preeclampsia
79,HMDB0000008,80,Pregnancy
80,HMDB0000008,81,Late-onset preeclampsia
81,HMDB0000008,82,Alzheimer's disease
82,HMDB0000008,83,Frontotemporal dementia
83,HMDB0000008,84,Lewy body disease
84,HMDB0000008,85,Pyruvate dehydrogenase deficiency
85,HMDB0000008,86,Eosinophilic esophagitis
86,HMDB0000008,87,Dihydrolipoamide Dehydrogenase Deficiency
87,HMDB0000008,88,Colorectal cancer
