,Name,Accession,Patient Sex,min_age,max_age,min_range,max_range,Disease
0,1-Methylhistidine,HMDB0000001,Female,18,64,33.6,68.80000000000001,Pregnancy with fetuses with trisomy 18
1,1-Methylhistidine,HMDB0000001,Female,18,64,21.099999999999998,65.7,Pregnancy
2,1-Methylhistidine,HMDB0000001,Female,18,64,37.800000000000004,63.6,Early preeclampsia
3,1-Methylhistidine,HMDB0000001,Female,18,64,35.4,64.6,Pregnancy
4,1-Methylhistidine,HMDB0000001,Both,18,64,10.600000000000001,47.0,Kidney disease
5,1-Methylhistidine,HMDB0000001,Both,18,64,61.39999999999999,104.8,Kidney disease
6,1-Methylhistidine,HMDB0000001,Female,18,64,30.299999999999997,110.3,Late-onset preeclampsia
7,1-Methylhistidine,HMDB0000001,Female,18,64,18.599999999999998,59.2,Pregnancy
8,1-Methylhistidine,HMDB0000001,Both,65,99,7.98,13.34,Alzheimer's disease
9,1-Methylhistidine,HMDB0000001,Female,18,64,28.099999999999998,52.7,Down syndrome pregnancy
10,1-Methylhistidine,HMDB0000001,Female,18,64,19.000000000000004,46.400000000000006,Pregnancy
11,"1,3-Diaminopropane",HMDB0000002,Female,18,64,0.0,0.26,Breast cancer 
12,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,13.850000000000001,40.07,Pregnancy with fetuses with trisomy 18
13,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,8.76,25.1,Pregnancy
14,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,15.799999999999999,27.0,Early preeclampsia
15,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,12.1,26.9,Pregnancy
17,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,9.649999999999999,24.61,Pregnancy with fetus having congenital heart defect
18,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,10.440000000000001,22.94,Pregnancy
19,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,13.6,42.4,Late-onset preeclampsia
20,2-Hydroxybutyric acid,HMDB0000008,Both,18,64,-6.04,14.32,Heart failure with reduced ejection fraction
21,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,13.7,28.7,Pregnancy
23,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,9.000000000000002,37.2,Down syndrome pregnancy
24,2-Hydroxybutyric acid,HMDB0000008,Female,18,64,7.6,22.4,Pregnancy
25,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,218.0,252.0,Obesity
26,3-Hydroxybutyric acid,HMDB0000011,Both,18,64,1.2000000000000028,69.0,Heart Transplant
27,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,-22.299999999999997,147.7,Down syndrome pregnancy
28,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,1.6000000000000014,40.4,Pregnancy
31,3-Hydroxybutyric acid,HMDB0000011,Female,0,1,200.0,2800.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
32,3-Hydroxybutyric acid,HMDB0000011,Both,1,13,770.0,2900.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
36,3-Hydroxybutyric acid,HMDB0000011,Not Specified,0,1,80.0,200.0,Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency
37,3-Hydroxybutyric acid,HMDB0000011,Not Specified,0,1,700.0,1340.0,Medium chain acyl-CoA dehydrogenase deficiency (MCAD)
39,3-Hydroxybutyric acid,HMDB0000011,Male,1,13,0,100.0,Carnitine palmitoyltransferase deficiency I
40,3-Hydroxybutyric acid,HMDB0000011,Both,1,13,1400.0,1600.0,Diabetes
41,3-Hydroxybutyric acid,HMDB0000011,Not Specified,0,1,0.0,380.0,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
42,3-Hydroxybutyric acid,HMDB0000011,Not Specified,0,1,1490.0,5040.0,Ketotic hypoglycemia
43,3-Hydroxybutyric acid,HMDB0000011,Female,0,1,10.0,1380.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
45,3-Hydroxybutyric acid,HMDB0000011,Both,18,64,-56.7,127.7,Diabetes
46,3-Hydroxybutyric acid,HMDB0000011,Both,18,64,13.760000000000002,21.44,Schizophrenia
47,3-Hydroxybutyric acid,HMDB0000011,Both,1,13,7400.0,8000.0,Diabetes
48,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,-9.96,119.1,Pregnancy with fetuses with trisomy 18
49,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,-20.520000000000003,86.32,Pregnancy
50,3-Hydroxybutyric acid,HMDB0000011,Male,0,1,0.0,200.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
51,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,12.5,50.7,Early preeclampsia
52,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,10.8,43.2,Pregnancy
55,3-Hydroxybutyric acid,HMDB0000011,Male,1,13,120.0,2000.0,2-Ketoglutarate dehydrogenase complex deficiency
57,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,-8.939999999999998,76.2,Pregnancy with fetus having congenital heart defect
58,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,-7.539999999999999,67.84,Pregnancy
59,3-Hydroxybutyric acid,HMDB0000011,Both,18,64,-14.660000000000004,73.88,Heart failure with reduced ejection fraction
61,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,3.1999999999999957,96.6,Late-onset preeclampsia
62,3-Hydroxybutyric acid,HMDB0000011,Female,18,64,10.599999999999998,48.8,Pregnancy
63,3-Hydroxybutyric acid,HMDB0000011,Both,1,13,50.0,210.0,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
64,3-Hydroxybutyric acid,HMDB0000011,Both,1,13,-90.0,690.0,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
65,3-Hydroxybutyric acid,HMDB0000011,Both,1,13,100.0,500.0,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
66,3-Hydroxybutyric acid,HMDB0000011,Both,1,13,90.0,410.0,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
68,3-Hydroxybutyric acid,HMDB0000011,Both,18,64,1300.0,1500.0,Diabetes
69,3-Hydroxybutyric acid,HMDB0000011,Both,18,64,7500.0,7900.0,Diabetes
70,3-Hydroxybutyric acid,HMDB0000011,Both,18,64,4300.0,6000.0,Diabetic ketoacidosis
71,3-Hydroxybutyric acid,HMDB0000011,Male,1,13,20.0,50.0,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
75,Cortexolone,HMDB0000015,Both,1,13,0.0079,0.329,11-beta-hydroxylase deficiency
78,alpha-Ketoisovaleric acid,HMDB0000019,Both,18,64,5.199999999999999,16.2,Heart Transplant
81,Iodotyrosine,HMDB0000021,Both,18,64,0.00024000000000000003,0.0004,Athyroic patients 
