,Name,Disease,Disease Synonym,min_age,max_age,min_range,max_range,unit,meta_id
0,Adrenocorticotropic hormone (ACTH),11-BETA-HYDROXYLASE DEFICIENCY (CYP11B1),ADRENAL HYPERPLASIA VI; STEROID 11 BETA-HYDROXYLASE DEFICIENCY,1,13,10.00,20.00,pg/ml,473
1,Adrenocorticotropic hormone (ACTH),11-BETA-HYDROXYLASE DEFICIENCY (CYP11B1),ADRENAL HYPERPLASIA VI; STEROID 11 BETA-HYDROXYLASE DEFICIENCY,1,13,4.40,22.20,pmol/l,1195
2,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18,64,0.00,239.00,μmol/l,1954
3,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",13,18,116.00,276.00,μmol/l,1955
4,Proline,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",13,18,58.00,324.00,μmol/l,1963
5,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,0.02,6.83,43.45,µmol/l,1214
6,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,0.02,11.61,73.87,µmol/l,1215
7,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,23.00,60.00,µmol/l,59
8,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18,64,35.00,55.00,µmol/l,268
9,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,20.00,40.00,µmol/l,1090
10,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,2,15.00,40.00,µmol/l,1163
